id,parent,notused,detail
3,0,0,MATERIALIZE limited_data
8,3,0,SCAN producthistory
30,3,0,USE TEMP B-TREE FOR ORDER BY
39,0,0,SCAN limited_data
47,0,0,CORRELATED SCALAR SUBQUERY 2
55,47,0,BLOOM FILTER ON t (categoryid=?)
65,47,0,SEARCH t USING AUTOMATIC COVERING INDEX (categoryid=?)
81,0,0,CORRELATED SCALAR SUBQUERY 3
89,81,0,BLOOM FILTER ON t (categoryid=?)
99,81,0,SEARCH t USING AUTOMATIC COVERING INDEX (categoryid=?)
115,0,0,CORRELATED SCALAR SUBQUERY 4
123,115,0,BLOOM FILTER ON t (productid=?)
133,115,0,SEARCH t USING AUTOMATIC COVERING INDEX (productid=?)
149,0,0,CORRELATED SCALAR SUBQUERY 5
157,149,0,BLOOM FILTER ON t (productid=?)
167,149,0,SEARCH t USING AUTOMATIC COVERING INDEX (productid=?)
